sample_ID,Long_ID,Site_code,Transect,Site_type,Month,Date,Ag_watershed
J01,ArcC_J_T1,ArcC,1,CA,July,2019-07-23,0.828832
J02,BacC_J_T1,BacC,1,CA,July,2019-07-16,0.393516
J03,GarF_J_T1,GarF,1,Farm,July,2019-07-23,0.83257103
J04,GilF_J_T1,GilF,1,Farm,July,2019-07-22,0.779962
J05,HaTC_J_T1,HaTC,1,CA,July,2019-07-18,0.88186203
J06,HawC_J_T1,HawC,1,CA,July,2019-07-11,0.58319513
J07,KetC_J_T1,KetC,1,CA,July,2019-07-12,0.854290009
J08,LakC_J_T1,LakC,1,CA,July,2019-07-16,0.669237976
J09,LakF_J_T1,LakF,1,Farm,July,2019-07-11,0.70933197
J10,ParF_J_T1,ParF,1,Farm,July,2019-07-18,0.909187012
J11,Pe1F_J_T1,Pe1F,1,Farm,July,2019-07-10,0.842125015
J12,Pe2F_J_T1,Pe2F,1,Farm,July,2019-07-10,0.907343979
J13,Pe3F_J_T1,Pe3F,1,Farm,July,2019-07-12,0.778683014
J14,Pe4F_J_T1,Pe4F,1,Farm,July,2019-07-12,0.8350303
J15,PleF_J_T1,PleF,1,Farm,July,2019-07-23,0.70856102
J16,TayF_J_T1,TayF,1,Farm,July,2019-07-10,0.93875
J17,UndF_J_T1,UndF,1,Farm,July,2019-07-15,0.790153
J18,VanF_J_T1,VanF,1,Farm,July,2019-07-15,0.783021
J19,WasF_J_T1,WasF,1,Farm,July,2019-07-16,0.845616989
J20,WatC_J_T1,WatC,1,CA,July,2019-07-22,0.701562
J21,ArcC_J_T2,ArcC,2,CA,July,2019-07-23,0.828832
J22,BacC_J_T2,BacC,2,CA,July,2019-07-16,0.393516
J23,GarF_J_T2,GarF,2,Farm,July,2019-07-23,0.83257103
J24,GilF_J_T2,GilF,2,Farm,July,2019-07-22,0.779962
J25,HaTC_J_T2,HaTC,2,CA,July,2019-07-18,0.88186203
J26,HawC_J_T2,HawC,2,CA,July,2019-07-11,0.58319513
J27,KetC_J_T2,KetC,2,CA,July,2019-07-12,0.854290009
J28,LakC_J_T2,LakC,2,CA,July,2019-07-16,0.669237976
J29,LakF_J_2,LakF,2,Farm,July,2019-07-11,0.70933197
J30,ParF_J_T2,ParF,2,Farm,July,2019-07-18,0.909187012
J31,Pe1F_J_T2,Pe1F,2,Farm,July,2019-07-10,0.842125015
J32,Pe2F_J_T2,Pe2F,2,Farm,July,2019-07-10,0.907343979
J33,Pe3F_J_T2,Pe3F,2,Farm,July,2019-07-12,0.778683014
J34,Pe4F_J_T2,Pe4F,2,Farm,July,2019-07-12,0.8350303
J35,PleF_J_T2,PleF,2,Farm,July,2019-07-23,0.70856102
J36,TayF_J_T2,TayF,2,Farm,July,2019-07-10,0.93875
J37,UndF_J_T2,UndF,2,Farm,July,2019-07-15,0.790153
J38,VanF_J_T2,VanF,2,Farm,July,2019-07-15,0.783021
J39,WasF_J_T2,WasF,2,Farm,July,2019-07-16,0.845616989
J40,WatC_J_T2,WatC,2,CA,July,2019-07-22,0.701562
J41,ArcC_J_T3,ArcC,3,CA,July,2019-07-23,0.828832
J42,BacC_J_T3,BacC,3,CA,July,2019-07-16,0.393516
J43,GarF_J_T3,GarF,3,Farm,July,2019-07-23,0.83257103
J44,GilF_J_T3,GilF,3,Farm,July,2019-07-22,0.779962
J45,HaTC_J_T3,HaTC,3,CA,July,2019-07-18,0.88186203
J46,HawC_J_T3,HawC,3,CA,July,2019-07-11,0.58319513
J47,KetC_J_T3,KetC,3,CA,July,2019-07-12,0.854290009
J48,LakC_J_T3,LakC,3,CA,July,2019-07-16,0.669237976
J49,LakF_J_3,LakF,3,Farm,July,2019-07-11,0.70933197
J50,ParF_J_T3,ParF,3,Farm,July,2019-07-18,0.909187012
J51,Pe1F_J_T3,Pe1F,3,Farm,July,2019-07-10,0.842125015
J52,Pe2F_J_T3,Pe2F,3,Farm,July,2019-07-10,0.907343979
J53,Pe3F_J_T3,Pe3F,3,Farm,July,2019-07-12,0.778683014
J54,Pe4F_J_T3,Pe4F,3,Farm,July,2019-07-12,0.8350303
J55,PleF_J_T3,PleF,3,Farm,July,2019-07-23,0.70856102
J56,TayF_J_T3,TayF,3,Farm,July,2019-07-10,0.93875
J57,UndF_J_T3,UndF,3,Farm,July,2019-07-15,0.790153
J58,VanF_J_T3,VanF,3,Farm,July,2019-07-15,0.783021
J59,WasF_J_T3,WasF,3,Farm,July,2019-07-16,0.845616989
J60,WatC_J_T3,WatC,3,CA,July,2019-07-22,0.701562
J61,ArcC_J_T4,ArcC,4,CA,July,2019-07-23,0.828832
J62,BacC_J_T4,BacC,4,CA,July,2019-07-16,0.393516
J63,GarF_J_T4,GarF,4,Farm,July,2019-07-23,0.83257103
J64,GilF_J_T4,GilF,4,Farm,July,2019-07-22,0.779962
J65,HaTC_J_T4,HaTC,4,CA,July,2019-07-18,0.88186203
J66,HawC_J_T4,HawC,4,CA,July,2019-07-11,0.58319513
J67,KetC_J_T4,KetC,4,CA,July,2019-07-12,0.854290009
J68,LakC_J_T4,LakC,4,CA,July,2019-07-16,0.669237976
J69,LakF_J_4,LakF,4,Farm,July,2019-07-11,0.70933197
J70,ParF_J_T4,ParF,4,Farm,July,2019-07-18,0.909187012
J71,Pe1F_J_T4,Pe1F,4,Farm,July,2019-07-10,0.842125015
J72,Pe2F_J_T4,Pe2F,4,Farm,July,2019-07-10,0.907343979
J73,Pe3F_J_T4,Pe3F,4,Farm,July,2019-07-12,0.778683014
J74,Pe4F_J_T4,Pe4F,4,Farm,July,2019-07-12,0.8350303
J75,PleF_J_T4,PleF,4,Farm,July,2019-07-23,0.70856102
J76,TayF_J_T4,TayF,4,Farm,July,2019-07-10,0.93875
J77,UndF_J_T4,UndF,4,Farm,July,2019-07-15,0.790153
J78,VanF_J_T4,VanF,4,Farm,July,2019-07-15,0.783021
J79,WasF_J_T4,WasF,4,Farm,July,2019-07-16,0.845616989
J80,WatC_J_T4,WatC,4,CA,July,2019-07-22,0.701562
M01,ArcC_M_T1,ArcC,1,CA,May,2019-05-17,0.828832
M02,BacC_M_T1,BacC,1,CA,May,2019-05-13,0.393516
M03,GarF_M_T1,GarF,1,Farm,May,2019-05-17,0.83257103
M04,GilF_M_T1,GilF,1,Farm,May,2019-05-10,0.779962
M05,HaTC_M_T1,HaTC,1,CA,May,2019-05-24,0.88186203
M06,HawC_M_T1,HawC,1,CA,May,2019-05-08,0.58319513
M07,KetC_M_T1,KetC,1,CA,May,2019-05-16,0.854290009
M08,LakC_M_T1,LakC,1,CA,May,2019-05-13,0.669237976
M09,LakF_M_T1,LakF,1,Farm,May,2019-05-08,0.70933197
M10,ParF_M_T1,ParF,1,Farm,May,2019-05-21,0.909187012
M11,Pe1F_M_T1,Pe1F,1,Farm,May,2019-05-14,0.842125015
M12,Pe2F_M_T1,Pe2F,1,Farm,May,2019-05-16,0.907343979
M13,Pe3F_M_T1,Pe3F,1,Farm,May,2019-05-07,0.778683014
M14,Pe4F_M_T1,Pe4F,1,Farm,May,2019-05-14,0.8350303
M15,PleF_M_T1,PleF,1,Farm,May,2019-05-21,0.70856102
M16,TayF_M_T1,TayF,1,Farm,May,2019-05-07,0.93875
M17,UndF_M_T1,UndF,1,Farm,May,2019-05-06,0.790153
M18,VanF_M_T1,VanF,1,Farm,May,2019-05-17,0.783021
M19,WatC_M_T1,WatC,1,CA,May,2019-05-10,0.701562
M20,WasF_M_T1,WasF,1,Farm,May,2019-05-24,0.845616989
M21,ArcC_M_T2,ArcC,2,CA,May,2019-05-17,0.828832
